post_id,Post link,post_text,hook,hook_len,created_date,day_of_week,week,is_midweek,Post type,format_inferred,Content Type,is_article,Impressions,Views,Clicks,Likes,Comments,Reposts,reactions_total,engagements_total,engagement_rate,ctr,amplification_rate,conversation_rate,char_count,word_count,line_breaks,hashtag_count,hashtag_list,has_link,mention_count,emoji_count,has_question,cta_type,theme,length_band,view_completeness,cta_confidence,value_prop_line,value_prop_in_first_3_sentences,industry_keywords,tone,pov,offer_type,cta_placement,cta_type_caption,cta_verb,has_question_prompt,hashtag_style,media_type,primary_visual,image_subject,person_present,face_visible,number_of_people,object_of_focus,background_type,background_dominant_colour,foreground_dominant_colour,palette,contrast_level,texture,text_on_image,headline_on_image,headline_style,headline_chars,subheadline_on_image,image_cta_text,brand_marks,brand_placement,graphic_style,campaign,angle,notable_element,ss_ids,ss_batches,slide_count,has_face_in_image,target_region,image_colour_theme
7353807081222631424,https://www.linkedin.com/feed/update/urn:li:activity:7353807081222631424,"We’ve partnered with NGI to transform K-12 grant management across the U.S. with a secure, end-to-end platform. Read more: https://lnkd.in/dCgybfEY

#GrantsNow #K12Education #GrantManagement #OracleCloud #EdTech #PublicSector","We’ve partnered with NGI to transform K-12 grant management across the U.S. with a secure, end-to-end platform. Read mor",120,2025-07-23,Wednesday,2025-07-21/2025-07-27,1,Organic,Image or text,,False,671,,18,26,2,3,31,49,0.0730253353204172,0.0268256333830104,0.0044709388971684,0.0029806259314456,225,26,2,6,"GrantsNow, K12Education, GrantManagement, OracleCloud, EdTech, PublicSector",1,0,0,0,read,other,Short (25-60w),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7353893840178626561,https://www.linkedin.com/feed/update/urn:li:activity:7353893840178626561,Exciting times ahead as we expand into the US market with NGI partnership,Exciting times ahead as we expand into the US market with NGI partnership,73,2025-07-23,Wednesday,2025-07-21/2025-07-27,1,Organic,Image or text,,False,262,,7,8,0,0,8,15,0.0572519083969465,0.0267175572519083,0.0,0.0,73,13,0,0,,0,0,0,0,none,other,Very short (<25w),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7354133293874749442,https://www.linkedin.com/feed/update/urn:li:activity:7354133293874749442,"Announcement!!  GrantsNow Forms Strategic Partnership with @NGI  to Transform K–12 Grant Management in the U.S.

We are thrilled to announce this partnership,  focused on delivering a modern, end-to-end grant management platform tailored for K–12 school districts across the United States. 

Read more here on our partnerships page: https://lnkd.in/dCgybfEY

#GrantsNow #NGI #K12 #Grantsmanagement",Announcement!!  GrantsNow Forms Strategic Partnership with @NGI  to Transform K–12 Grant Management in the U.S.,111,2025-07-24,Thursday,2025-07-21/2025-07-27,1,Organic,Image or text,,False,311,,10,10,0,0,10,20,0.0643086816720257,0.0321543408360128,0.0,0.0,397,52,6,4,"GrantsNow, NGI, K12, Grantsmanagement",1,1,0,0,read,other,Short (25-60w),full,unknown,GrantsNow + NGI strategic partnership to deliver a modern end-to-end grant management platform for K-12 school districts across the United States.,yes,"NGI, K-12, US market, grant management, school districts, United States, partnership",conversational,brand-first-person,partnership announcement,end,read,Read,no,brand + partner (light 4 tags),image,photo + typography with NGI co-brand,dark teal-tinted US urban skyline (looks like NYC-style buildings),no,no,0.0,the NGI partnership announcement + yellow highlight on NGI,photographic,dark teal-tinted urban skyline,white type + yellow highlighter on 'NGI' + NGI red arrow logo,brand-teal + accent-yellow + NGI-red,high,photo with heavy overlay,yes,We're excited to partner with NGI to streamline and modernise Grant management in the U.S.,sentence-case mixed-weight bold with yellow highlighter on 'NGI',90.0,Read about our partnership,LINK IN DESCRIPTION,GrantsNow logo TL + NGI red arrow logo TR,corners,corporate partnership poster with US urban skyline backdrop,partnership - NGI US K-12,thought_leadership + community_celebration,FOURTH PARTNERSHIP ANNOUNCEMENT (SS071 Arribatec + SS079 Oracle + SS090 Fusion Practices/Unit4 + SS091 NGI) + first explicit US K-12 market partnership (connects to SS059 K-12 school targeting) + double exclamation 'Announcement!!' + @NGI mention in caption (first at-mention in a caption in the whole set) + yellow highlighter on NGI (like SS013 SS026 SS027 SS081 highlighter treatment),SS091,batch19,1.0,no,US,brand-teal + accent-yellow + NGI-red
7354507238436147201,https://www.linkedin.com/feed/update/urn:li:activity:7354507238436147201,"Just reminding you about the partnership between Fusion Practices and Unit4, which brought GrantsNow to life as a modern solution for managing the full pre-awards funding process. You can read more about it here: https://lnkd.in/dg6pjWF9","Just reminding you about the partnership between Fusion Practices and Unit4, which brought GrantsNow to life as a modern",120,2025-07-25,Friday,2025-07-21/2025-07-27,0,Organic,Image or text,,False,549,,39,19,0,0,19,58,0.1056466302367941,0.0710382513661202,0.0,0.0,237,35,0,0,,1,0,0,0,read,other,Short (25-60w),full,unknown,The Fusion Practices + Unit4 partnership brought GrantsNow to life as a modern solution for the full pre-awards funding process.,yes,"Fusion Practices, Unit4, GrantsNow, partnership, pre-awards funding process",conversational,brand-first-person,partnership announcement,end,read,Read,no,none in the caption,image,photo + triple co-brand row,"two men in suits shaking hands (professional handshake, close-up), dark teal blur background","yes (2 men, from waist)",no (side/back),2.0,the handshake photo + triple co-brand row,photographic,dark teal-tinted urban blur,white type + GrantsNow + Fusion Practices + Unit4 logos,brand-teal + white + partner-branded,high,photo with heavy overlay,yes,We just wanted to remind people about the partnership between Fusion Practices and Unit4 that introduced GrantsNow.,sentence-case mixed-weight bold on partner names,116.0,Read about our partnership,LINK IN DESCRIPTION,GrantsNow logo top + Fusion Practices logo + Unit4 logo (triple co-brand row),top row - three partner marks side by side,corporate partnership photo with handshake and triple co-brand row,partnership - Fusion Practices + Unit4 origin reminder,thought_leadership + community_celebration,THIRD PARTNERSHIP ANNOUNCEMENT in the set (SS071 Arribatec + SS079 Oracle + SS090 Fusion Practices/Unit4) + first handshake visual + reveals the origin story (GrantsNow was created by Fusion Practices + Unit4 partnership) + reminder framing ('Just reminding you...') is unusual - a retrospective partnership post rather than a new announcement + new blog URL dg6pjWF9 + no hashtags,SS090,batch19,1.0,no,,brand-teal + white + partner-branded
7356665639140229120,https://www.linkedin.com/feed/update/urn:li:activity:7356665639140229120,"Just reminding you about the partnership between Fusion Practices and Unit4, which brought GrantsNow to life as a modern solution for managing the full pre-awards funding process. ","Just reminding you about the partnership between Fusion Practices and Unit4, which brought GrantsNow to life as a modern",120,2025-07-31,Thursday,2025-07-28/2025-08-03,1,Organic,Article,Article,True,529,174.0,22,14,1,0,15,37,0.0699432892249527,0.0415879017013232,0.0,0.0018903591682419,180,27,0,0,,0,0,0,0,none,other,Short (25-60w),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7360680910905589760,https://www.linkedin.com/feed/update/urn:li:activity:7360680910905589760,"Managing integrations, reports, and configurations in-house can drain valuable time and resources. With GrantsNow, you don’t have to. Our team of 250+ consultants ensures seamless integration and customisation, so you can focus on what truly matters.

#HigherEdTech #GrantsNow #GrantManagement #Automation #Efficiency #SeamlessIntegration","Managing integrations, reports, and configurations in-house can drain valuable time and resources. With GrantsNow, you d",120,2025-08-11,Monday,2025-08-11/2025-08-17,0,Organic,Image or text,,False,330,,3,9,0,0,9,12,0.0363636363636363,0.009090909090909,0.0,0.0,338,42,2,6,"HigherEdTech, GrantsNow, GrantManagement, Automation, Efficiency, SeamlessIntegration",0,0,0,0,none,product_capability,Short (25-60w),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7364613079155777536,https://www.linkedin.com/feed/update/urn:li:activity:7364613079155777536,"Looking for a single cloud platform to manage BOTH Pre & Post Awards, including Ethics & Contracts? GrantsNow delivers it all—fully integrated, highly configurable, and built on modern Oracle Cloud technology!

Get in touch: https://lnkd.in/dU2Brsef 

#grantsnow #grantsmanagement #preawards #postwards #cloud #SaaS","Looking for a single cloud platform to manage BOTH Pre & Post Awards, including Ethics & Contracts? GrantsNow delivers i",120,2025-08-22,Friday,2025-08-18/2025-08-24,0,Organic,Image or text,,False,124,,4,3,0,0,3,7,0.0564516129032258,0.032258064516129,0.0,0.0,315,41,4,6,"grantsnow, grantsmanagement, preawards, postwards, cloud, SaaS",1,0,0,1,contact,other,Short (25-60w),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7365765679645396992,https://www.linkedin.com/feed/update/urn:li:activity:7365765679645396992,"The wrong Pre-Awards platform means hidden costs, manual updates, delays, and a higher total cost of ownership. GrantsNow’s TRUE SaaS solution gives you full control, instant upgrades, and zero hidden fees. Read the blog to know how: https://lnkd.in/eqK3_-vN 

#grantsmanagement #armauk #grantsnow #preawards #research","The wrong Pre-Awards platform means hidden costs, manual updates, delays, and a higher total cost of ownership. GrantsNo",120,2025-08-25,Monday,2025-08-25/2025-08-31,0,Organic,Image or text,,False,104,,15,3,0,0,3,18,0.173076923076923,0.1442307692307692,0.0,0.0,318,43,2,5,"grantsmanagement, armauk, grantsnow, preawards, research",1,0,0,0,read,pain_point,Short (25-60w),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7366061906937262080,https://www.linkedin.com/feed/update/urn:li:activity:7366061906937262080,"Searching for the next generation in pre-awards software? GrantsNow is here now, making pre and post-award administration faster, more automated and better integrated.

#GrantsNow #PreAwardSoftware #PostAwardManagement #ResearchGrants #HigherEdTech #UKUniversities #SmartFunding #FutureReady","Searching for the next generation in pre-awards software? GrantsNow is here now, making pre and post-award administratio",120,2025-08-26,Tuesday,2025-08-25/2025-08-31,1,Organic,Image or text,,False,120,,1,4,0,0,4,5,0.0416666666666666,0.0083333333333333,0.0,0.0,291,31,2,8,"GrantsNow, PreAwardSoftware, PostAwardManagement, ResearchGrants, HigherEdTech, UKUniversities, SmartFunding, FutureReady",0,0,0,1,none,product_capability,Short (25-60w),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7366424280894447618,https://www.linkedin.com/feed/update/urn:li:activity:7366424280894447618,"GrantsNow is empowering research teams to work smarter, not harder. Discover why UK institutions are opting for a platform designed for outcomes, not workarounds. Get in touch: https://lnkd.in/dU2Brsef

#GrantsNow #PreAwardSoftware #ResearchManagement #HigherEdTech #TrueSaaS #UKUniversities","GrantsNow is empowering research teams to work smarter, not harder. Discover why UK institutions are opting for a platfo",120,2025-08-27,Wednesday,2025-08-25/2025-08-31,1,Organic,Image or text,,False,110,,2,4,0,0,4,6,0.0545454545454545,0.0181818181818181,0.0,0.0,291,34,2,6,"GrantsNow, PreAwardSoftware, ResearchManagement, HigherEdTech, TrueSaaS, UKUniversities",1,0,0,0,contact,thought_leadership,Short (25-60w),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
