post_id,batch,view_completeness,cta_confidence,caption,first_line,first_line_chars,first_line_type,pre_seemore_chars,pre_seemore_hook_complete,word_count,sentence_count,paragraph_count,avg_sentence_words,reading_grade,has_bullets,bullet_count,has_emojis,emoji_count,has_bold_or_caps_emphasis,value_prop_line,value_prop_in_first_3_sentences,industry_keywords,tone,pov,offer_type,cta_placement,cta_type_caption,cta_verb,has_question_prompt,hashtag_count,hashtags,hashtag_style,at_mentions,urls_in_caption,media_type,primary_visual,image_subject,person_present,face_visible,number_of_people,object_of_focus,background_type,background_dominant_colour,foreground_dominant_colour,palette,contrast_level,texture,text_on_image,headline_on_image,headline_style,headline_chars,subheadline_on_image,image_cta_text,brand_marks,brand_placement,graphic_style,notable_element,campaign,angle,linkedin_post_id,posted_date,match_score,match_method,match_impressions
SS001,batch1,full,verified,"Every proposal generates questions, feedback, and approvals. When they're managed across email, finding the right information becomes difficult, especially as submission volumes grow.

Learn how a single proposal record keeps every conversation in one place.
Download the whitepaper: https://lnkd.in/e8u_9AzK

#GrantsNow #Research #PreAwards #GrantsManagement","Every proposal generates questions, feedback, and approvals. When they're managed across email, finding the right information becomes difficult, especially as submission volumes grow.",183,statement,210,yes,38,4,3,9.5,12.7,no,0,no,0,no,A single proposal record keeps every conversation in one place.,yes,"proposal, submissions, whitepaper, grants management, research, pre-awards",authoritative,brand-third-person,whitepaper,end,download,Download,no,4,"#GrantsNow, #Research, #PreAwards, #GrantsManagement",brand + niche,,https://lnkd.in/e8u_9AzK,image,illustration,envelope with red notification badge,no,no,0,envelope with red 7 notification,solid,dark teal,yellow envelope + white card + red badge,brand-teal + gold + accent-red,high,flat illustration,yes,Still managing proposal reviews by email?,mixed-weight bold,41,There's a better way.,Download the Whitepaper,GrantsNow logo TL + HM Government G-Cloud Supplier TR,corners,minimal flat with iconography,red '7' notification badge - urgency + inbox metaphor,whitepaper - proposal reviews,pain_point + product_capability,7483849474553966592,2026-07-17,1.0,prefix (274 chars),118.0
SS002,batch1,bottom-cropped,inferred,"Proposal feedback, peer reviews, and approvals shouldn't disappear into inboxes. Discover how keeping every discussion linked to the proposal improves collaboration, visibility, and audit readiness.

Download the whitepaper: https://lnkd.in/e8u_9AzK

#GrantsNow #Research #PreAwards #GrantsManagement","Proposal feedback, peer reviews, and approvals shouldn't disappear into inboxes. Discover how keeping every discussion linked to the proposal improves collaboration, visibility, and audit readiness.",198,statement,210,yes,28,3,3,9.3,15.4,no,0,no,0,no,"Keeping every discussion linked to the proposal improves collaboration, visibility, and audit readiness.",yes,"proposal, peer reviews, approvals, audit readiness, grants management",authoritative,brand-third-person,whitepaper,end,download,Download,no,4,"#GrantsNow, #Research, #PreAwards, #GrantsManagement",brand + niche,,https://lnkd.in/e8u_9AzK,image,mixed - photo + illustration,laptop workspace photo (top) + product panel (bottom),no,no,0,envelope on laptop screen + notepad and pen,photographic (top) + solid (bottom),warm neutral photo + white,orange envelope + teal accent,brand-teal + accent-orange + neutral,medium,mixed - photo realistic and flat,yes,Your proposal discussions belong with the proposal,mixed-weight bold,50,Not scattered across email,Download the Whitepaper,GrantsNow logo,top of product panel,editorial photo over minimal product mock,"split composition - human workspace context above, product answer below",whitepaper - proposal reviews,pain_point,7483483091794182144,2026-07-16,1.0,prefix (216 chars),107.0
SS003,batch1,bottom-cropped,unknown,"GrantsNow uses AI to surface relevant funding opportunities based on your research areas, favourite funders and team preferences. The right calls find you, not the other way around.

Book a demo: https://lnkd.in/dU2Brsef

#GrantsManagement #AIinResearch #Funding #ResearchOffice #HigherEducationUK","GrantsNow uses AI to surface relevant funding opportunities based on your research areas, favourite funders and team preferences. The right calls find you, not the other way around.",181,statement,210,yes,31,3,3,10.3,8.6,no,0,no,0,no,"The right calls find you, not the other way around.",yes,"AI, funding opportunities, research areas, funders, higher education, research office",conversational,brand-and-you (mixed),demo,end,book_demo,Book,no,5,"#GrantsManagement, #AIinResearch, #Funding, #ResearchOffice, #HigherEducationUK",niche + audience-targeted (UK higher ed),,https://lnkd.in/dU2Brsef,image,typography,magnifying glass illustration,no,no,0,magnifying glass (bottom right),solid,cream / off-white,dark teal typography + grey magnifying glass,brand-teal on cream,medium,flat with subtle drop shadow,yes,Stop manually searching for funding calls.,mixed-weight bold (manually + searching in heavy weight),43,,,GrantsNow logo TL + HM Government G-Cloud Supplier TR,corners,editorial minimal typography-led,"headline-only creative - no CTA button visible in the crop, quieter than SS001/SS002",demo - AI funding discovery,product_capability,7482820498771529728,2026-07-14,1.0,prefix (189 chars),127.0
SS004,batch1,top-cropped,verified,[Newsletter share - caption not visible in the screenshot; renders as a LinkedIn Newsletter card],[Newsletter share - caption not visible in the screenshot; renders as a LinkedIn Newsletter card],97,statement,97,yes,15,1,1,15.0,10.1,no,0,no,0,no,Keep proposal reviews and approvals in one place,,"proposal reviews, approvals, grant scope, newsletter",authoritative,brand-third-person,newsletter,n/a - newsletter card,none,,no,0,,n/a - caption cropped,,,newsletter,typography,two-panel brand card - GrantScope mark + newsletter headline,no,no,0,GrantScope wordmark (left panel),solid,dark teal (left) + white (right),white text (left) + dark teal text (right),brand-teal + white,high,flat brand card,yes,Keep proposal reviews & approvals in one place,mixed-weight bold,46,,,GrantScope mark + GrantsNow logo,split panels,newsletter brand card,newsletter format - Register button in the header instead of an in-image CTA,GrantScope newsletter,thought_leadership,,,0.0,none,
SS005,batch1,full,verified,"Researchers, administrators, reviewers, and finance teams each need access to different information throughout the funding lifecycle.

Our latest whitepaper explores how role-based access can help universities protect sensitive information, improve collaboration, and ensure every user sees the information relevant to their responsibilities.

Download it here: https://lnkd.in/eVuMpbP2

#GrantsNow #ResearchFunding #Whitepaper #Funding #Research","Researchers, administrators, reviewers, and finance teams each need access to different information throughout the funding lifecycle.",133,statement,210,yes,45,3,4,15.0,16.8,no,0,no,0,no,"Role-based access can help universities protect sensitive information, improve collaboration, and ensure every user sees the information relevant to their responsibilities.",yes,"role-based access, universities, funding lifecycle, researchers, administrators, reviewers, finance teams",authoritative,brand-third-person,whitepaper,end,download,Download,no,5,"#GrantsNow, #ResearchFunding, #Whitepaper, #Funding, #Research",brand + niche,,https://lnkd.in/eVuMpbP2,image,photo + product panel,professional woman working on a laptop,yes,yes,1,person + WHITEPAPER pill tag,photographic (right) + solid (left),dark teal (product panel) + warm neutral (photo),dark teal typography + WHITEPAPER yellow pill,brand-teal + gold + photographic,high,mixed - photo realistic and flat panel,yes,Give every user the right access,mixed-weight bold,33,"Improve security, visibility, and collaboration across research funding",Download the Whitepaper to learn more,GrantsNow logo + HM Government G-Cloud Supplier + WHITEPAPER yellow pill,corners + label pill on product panel,editorial photo plus teal product panel,human face - only post in this batch with a person - and yellow WHITEPAPER pill acting as content-type signal,whitepaper - role-based access,product_capability + pain_point,7481391339167944706,2026-07-10,1.0,prefix (351 chars),141.0
SS006,batch2,full,verified,"Proposal rework can become difficult to manage when feedback, document changes, and approvals are spread across multiple email threads.

Our latest whitepaper explores how keeping every discussion and decision linked to the proposal can improve collaboration, provide greater visibility, and help research teams keep submissions moving forward.

Download the free whitepaper: https://lnkd.in/gZQqbfDX

#GrantsNow #Whitepaper #ResearchManagement","Proposal rework can become difficult to manage when feedback, document changes, and approvals are spread across multiple email threads.",135,statement,210,yes,51,3,4,17.0,14.9,no,0,no,0,no,"Keeping every discussion and decision linked to the proposal improves collaboration, visibility, and momentum.",yes,"proposal rework, feedback, approvals, whitepaper, research management, submissions",authoritative,brand-third-person,whitepaper,end,download,Download,no,3,"#GrantsNow, #Whitepaper, #ResearchManagement",brand + niche,,https://lnkd.in/gZQqbfDX,image,photo + teal card overlay,office scene with people in background + teal product panel,yes,partial (background),2,teal card with headline + WHITEPAPER pill,photographic,dark teal photo tint,teal card + WHITEPAPER yellow pill + white type,brand-teal + gold + photographic,high,photo realistic with darkened tint,yes,Keep proposal corrections clear and on track,mixed-weight bold (corrections in heavier weight),45,"Discover a better way to manage feedback, rework, and approvals",Download the Whitepaper to learn more,GrantsNow logo TL + HM Government G-Cloud Supplier TR + WHITEPAPER pill + contact footer strip,corners + footer contact strip,photo hero with centred teal card and full contact strip,phone number and website in footer strip - direct sales cue on a whitepaper post,whitepaper - proposal corrections,pain_point + product_capability,7481020822741073920,2026-07-09,1.0,prefix (366 chars),180.0
SS007,batch2,full,verified,"Missed feedback and multiple document versions can put funding applications at risk. Explore how a structured approach to proposal corrections helps universities reduce administrative effort and improve submission quality.

Download the whitepaper:
https://lnkd.in/gZQqbfDX

#GrantsNow #Whitepaper",Missed feedback and multiple document versions can put funding applications at risk. Explore how a structured approach to proposal corrections helps universities reduce administrative effort and improve submission quality.,222,statement,210,no,32,3,3,10.7,14.0,no,0,no,0,no,A structured approach to proposal corrections reduces administrative effort and improves submission quality.,yes,"feedback, document versions, funding applications, proposal corrections, universities, submission quality",authoritative,brand-third-person,whitepaper,end,download,Download,no,2,"#GrantsNow, #Whitepaper",brand only (very light),,https://lnkd.in/gZQqbfDX,image,photo + teal card overlay,woman working with laptop in background + teal card centred,yes,yes (soft focus),1,teal card with question headline + WHITEPAPER pill,photographic,dark teal photo tint,teal card + WHITEPAPER yellow pill + white type,brand-teal + gold + photographic,high,photo realistic with darkened tint,yes,Are proposal reworks slowing submissions?,mixed-weight bold (proposal reworks in heavier weight),42,Download the Whitepaper to learn more,Download the Whitepaper to learn more,GrantsNow logo TL + HM Government G-Cloud Supplier TR + WHITEPAPER pill + contact footer strip,corners + footer contact strip,photo hero with centred teal card - question in the image,question in the image headline - first image-headline question so far - direct challenge to the reader,whitepaper - proposal corrections,pain_point,7480198934196379648,2026-07-07,1.0,prefix (244 chars),82.0
SS008,batch2,full,verified,"Manually pulling together proposal details from multiple sources before you have even started writing is time nobody can afford. GrantsNow auto-populates your outline proposal directly from the funding call, cutting the admin so your researchers can focus on what actually wins Grants.

Would you like to know more? Get in touch: https://lnkd.in/dU2Brsef

#GrantsManagement #PreAward #ResearchOffice #UKUniversities #AIinResearch","Manually pulling together proposal details from multiple sources before you have even started writing is time nobody can afford. GrantsNow auto-populates your outline proposal directly from the funding call, cutting the admin so your researchers can focus on what actually wins Grants.",285,statement,210,no,51,4,3,12.8,9.2,no,0,no,0,no,"GrantsNow auto-populates your outline proposal directly from the funding call, cutting admin so researchers can focus on winning grants.",yes,"manual proposal, funding call, admin, researchers, AI, pre-award, research office, UK universities",conversational,brand-and-you (mixed),demo,end,contact,Get in touch,yes,5,"#GrantsManagement, #PreAward, #ResearchOffice, #UKUniversities, #AIinResearch",niche + audience-targeted (UK higher ed),,https://lnkd.in/dU2Brsef,image,photo + teal card overlay,team meeting photo (top) + teal panel with question (bottom),yes,partial (backs of heads),3,large question headline + 'We can help' response,photographic (top) + solid teal (bottom),dark teal + photo,white type + teal checkmark + white 'We can help' pill,brand-teal + photographic,high,photo realistic with darkened tint + flat solid teal,yes,Is your team spending more time on admin than on the actual bid?,mixed-weight bold (more time in heavier weight),64,We can help!,Get in touch (+44) 7710 041194 | grantsnow.co.uk,GrantsNow logo TL + HM Government G-Cloud Supplier TR + contact footer strip,corners + footer contact strip,"split panel photo-plus-solid teal, big question hook",explicit question in caption AND image - hard sell with phone number as CTA,demo - AI auto-populate,pain_point + product_capability,7478747715691008000,2026-07-03,1.0,prefix (323 chars),194.0
SS009,batch2,full,verified,"Role-based access helps universities give researchers, reviewers, finance teams, and administrators access only to the information they need, improving security, collaboration, and governance across the research funding lifecycle.

Download our whitepaper to learn more:
https://lnkd.in/eVuMpbP2

#ResearchManagement #GrantManagement #HigherEducation #ResearchFunding #DataGovernance #ResearchSupport #GrantsNow","Role-based access helps universities give researchers, reviewers, finance teams, and administrators access only to the information they need, improving security, collaboration, and governance across the research funding lifecycle.",230,statement,210,no,34,2,3,17.0,16.5,no,0,no,0,no,"Role-based access gives each user access only to what they need, improving security, collaboration, and governance.",yes,"role-based access, universities, researchers, reviewers, finance teams, data governance, research funding lifecycle, higher education",authoritative,brand-third-person,whitepaper,end,download,Download,no,7,"#ResearchManagement, #GrantManagement, #HigherEducation, #ResearchFunding, #DataGovernance, #ResearchSupport, #GrantsNow",brand + broad + niche - very heavy (7 tags),,https://lnkd.in/eVuMpbP2,image,photo + white card overlay with orange border,woman at computer in background + cream card with orange rounded border,yes,partial (soft focus),1,cream card with orange border and yellow CTA button,photographic,dark teal photo tint,cream card + orange border + teal type + yellow CTA button,brand-teal + gold + accent-orange,high,photo realistic with darkened tint + flat card,yes,Role-Based Access That Simplifies Research Management,title-case mixed-weight bold,53,The Right People. The Right Access. Every Time.,Download the Whitepaper to learn more,GrantsNow logo TL + HM Government G-Cloud Supplier TR + contact footer strip,corners + footer contact strip,photo hero with cream card and prominent yellow button,yellow CTA button (only post in the set with a filled yellow button) + 7 hashtags (heaviest in the set),whitepaper - role-based access,product_capability,7478022878341361664,2026-07-01,1.0,prefix (261 chars),135.0
SS010,batch2,full,verified,"Are manual proposal updates across emails or spreadsheets slowing down your bid process? GrantsNow gives everyone a single dashboard with full visibility of every proposal, tailored to their dept/role.

We would be happy to connect: https://lnkd.in/dU2Brsef

#GrantsManagement #ResearchOffice #PreAward #UKUniversities #HigherEducationUK","Are manual proposal updates across emails or spreadsheets slowing down your bid process? GrantsNow gives everyone a single dashboard with full visibility of every proposal, tailored to their dept/role.",201,statement,210,yes,35,3,3,11.7,9.7,no,0,no,0,no,"GrantsNow gives everyone a single dashboard with full visibility of every proposal, tailored to their dept and role.",yes,"manual proposal updates, emails, spreadsheets, bid process, single dashboard, research office, pre-award, UK universities",conversational,brand-and-you (mixed),demo,end,contact,Connect,yes,5,"#GrantsManagement, #ResearchOffice, #PreAward, #UKUniversities, #HigherEducationUK",niche + audience-targeted (UK higher ed),,https://lnkd.in/dU2Brsef,image,photo + teal card overlay,woman at desk with monitor in background + teal card centred,yes,yes (side profile),1,teal card with question - manual proposal tracking phrase in bold,photographic,muted green-grey office photo,teal card + cream border + white type,brand-teal + cream + photographic,high,photo realistic with subtle desaturation,yes,Is your research office held back with manual proposal tracking?,mixed-weight bold (manual proposal tracking in heavier weight),61,,Get in touch (+44) 7710 041194 | grantsnow.co.uk,GrantsNow logo TL + HM Government G-Cloud Supplier TR + contact footer strip,corners + footer contact strip,"photo hero with centred teal card, headline-only in image",question in both caption first line and image headline - most on-message hook of the batch,demo - dashboard visibility,pain_point,7477323401225719808,2026-06-29,1.0,prefix (227 chars),87.0
