campaign_id,campaign_name,objective,persona_raw,stage,subject,body,full_text,char_count,word_count,has_subject
1,Funding Opportunities,,ALL Universities,Base,Improve Funding Opportunity Matching by 25% with AI,"Good afternoon, [Name],
 
The increasing volume of competitive funding opportunities makes manual tracking increasingly challenging, with relevant opportunities often missed or identified too late.
 
AI-driven automation is beginning to change this by helping universities identify and align targeted funding opportunities with strategic research themes and institutional priorities, improving funding visibility and supporting research income growth.
 
In conversations with several universities, we have heard that existing systems do not always provide the level of intelligent & effective opportunity matching they require. 
GrantsNow’s AI Driven Funder Opportunity Scanner was designed specifically to address this challenge, with institutions reporting improvements in funding opportunity matching of over 25%.
 
We would be happy to share a high-level overview if you feel our platform would provide you with additional funding opportunities. You can connect with us here: https://grantsnow.co.uk/contact/","Base Email - Grants Funding Opportunities (APPROVED BY IAN)
 
Subject: Improve Funding Opportunity Matching by 25% with AI
 
Good afternoon, [Name],
 
The increasing volume of competitive funding opportunities makes manual tracking increasingly challenging, with relevant opportunities often missed or identified too late.
 
AI-driven automation is beginning to change this by helping universities identify and align targeted funding opportunities with strategic research themes and institutional priorities, improving funding visibility and supporting research income growth.
 
In conversations with several universities, we have heard that existing systems do not always provide the level of intelligent & effective opportunity matching they require. 
GrantsNow’s AI Driven Funder Opportunity Scanner was designed specifically to address this challenge, with institutions reporting improvements in funding opportunity matching of over 25%.
 
We would be happy to share a high-level overview if you feel our platform would provide you with additional funding opportunities. You can connect with us here: https://grantsnow.co.uk/contact/",1137,155,True
1,Funding Opportunities,,ALL Universities,Follow-up A,How Universities improved their funding opportunities by 25%,"Good afternoon, [Name],
 
I wanted to write again in case my previous message got lost in your inbox.
I wanted to share with you how GrantsNow manages your end to end Grants Funding , greatly improves funding opportunities, reducing manual workload, and gives you a single view across the full cycle.
 
GrantsNow users have reduced their annual cost and increased their relevant funding opportunities by around 25% with our platform. GrantsNow is an AI-driven, cloud-based system that integrates with your existing ERPs, with an AI driven funding opportunity scanner and self-configurable dashboards for reporting and analytics.
 
If it would help, I would be glad to set up a short call to talk it through.
 
Best regards, [Name]","Subject: How Universities improved their funding opportunities by 25%
 
Good afternoon, [Name],
 
I wanted to write again in case my previous message got lost in your inbox.
I wanted to share with you how GrantsNow manages your end to end Grants Funding , greatly improves funding opportunities, reducing manual workload, and gives you a single view across the full cycle.
 
GrantsNow users have reduced their annual cost and increased their relevant funding opportunities by around 25% with our platform. GrantsNow is an AI-driven, cloud-based system that integrates with your existing ERPs, with an AI driven funding opportunity scanner and self-configurable dashboards for reporting and analytics.
 
If it would help, I would be glad to set up a short call to talk it through.
 
Best regards, [Name]",802,128,True
1,Funding Opportunities,,ALL Universities,Follow-up B,A smarter way to manage grants,"Good afternoon, [Name],
Circling back in case my last message slipped past you.
Universities are moving to GrantsNow because it brings grants management into one place and lets AI increase funding opportunities and remove a large amount of the manual tasks in Research Admin.
Why they are switching:
Around 25% increase in relevant funding opportunities
Meaningful reductions in annual costs
One platform end to end, from funding discovery through to post-award
AI driven funding opportunity scanner built in
Integrates seamlessly with the ERPs you already run, like Oracle and Unit4
If your institution is looking at a more modern way to manage grants, I would be glad to set up a short call.
Best regards, [Name]","Subject: A smarter way to manage grants
 
Good afternoon, [Name],
Circling back in case my last message slipped past you.
Universities are moving to GrantsNow because it brings grants management into one place and lets AI increase funding opportunities and remove a large amount of the manual tasks in Research Admin.
Why they are switching:
Around 25% increase in relevant funding opportunities
Meaningful reductions in annual costs
One platform end to end, from funding discovery through to post-award
AI driven funding opportunity scanner built in
Integrates seamlessly with the ERPs you already run, like Oracle and Unit4
If your institution is looking at a more modern way to manage grants, I would be glad to set up a short call.
Best regards, [Name]",756,124,True
2,ARMA,Client,Research,Base,Looking forward to seeing you at ARMA 2026,"Hi [First name],
 
We really appreciate your support of GrantsNow, and we are proud to be sponsoring ARMA 2026, and are attending from 16th -18th June at the Harrogate Convention Centre.
 
Do come by our desk in the exhibition Hall to meet our team and see the latest updates in functionality in our AI-driven, cloud-based grants management platform built to improve efficiency in Pre & Post Awards in research offices. 
 
We look forward to showing you what we have been working on.
 
See you at ARMA 2026!
 
 
Best wishes,

Ian","DATE: 

CLIENTS>
 
Subject: Looking forward to seeing you at ARMA 2026
 
 
Hi [First name],
 
We really appreciate your support of GrantsNow, and we are proud to be sponsoring ARMA 2026, and are attending from 16th -18th June at the Harrogate Convention Centre.
 
Do come by our desk in the exhibition Hall to meet our team and see the latest updates in functionality in our AI-driven, cloud-based grants management platform built to improve efficiency in Pre & Post Awards in research offices. 
 
We look forward to showing you what we have been working on.
 
See you at ARMA 2026!
 
 
Best wishes,

Ian",604,102,True
2,ARMA,Client,Research,Follow-up A,Hope to see you at ARMA 2026,"Good afternoon, [Name],

Just a quick note ahead of ARMA 2026 at the Harrogate Convention Centre, 16 to 18 June.
Thank you again for your continued support of GrantsNow. It would be great to see you at our desk in the exhibition hall, catch up in person, and walk you through the latest functionality we have added to the platform.

Looking forward to seeing you there.

Best wishes,

Ian","Subject: Hope to see you at ARMA 2026

Good afternoon, [Name],

Just a quick note ahead of ARMA 2026 at the Harrogate Convention Centre, 16 to 18 June.
Thank you again for your continued support of GrantsNow. It would be great to see you at our desk in the exhibition hall, catch up in person, and walk you through the latest functionality we have added to the platform.

Looking forward to seeing you there.

Best wishes,

Ian",427,77,True
2,ARMA,Client,Research,Follow-up B,Re: Hope to see you at ARMA 2026,"Hi, [Name],
Counting down to ARMA. Looking forward to catching up if you are heading to Harrogate.
Best wishes,
Ian","Subject: Re: Hope to see you at ARMA 2026
Hi, [Name],
Counting down to ARMA. Looking forward to catching up if you are heading to Harrogate.
Best wishes,
Ian",157,29,True
3,ARMA,Prospect,Research,Base,The future of Grants Management is at ARMA 2026,"Hi [First name],
 
 
GrantsNow are proud to be sponsoring ARMA 2026, and we will be attending from 16 to 18 June at the Harrogate Convention Centre.
 
Do come by our desk in the exhibition Hall to meet our team and see the latest updates in functionality in our AI-driven, cloud-based grants management platform built to improve efficiency in Pre & Post Awards in research offices. 
 
We will be on hand to show you GrantsNow and how our clients and users are benefiting from our SaaS Cloud platform.
 
We look forward to showing you what we've been working on.
 
 
See you at ARMA 2026
 
 
 
Best wishes,
Ian McGowan
Director","DATE:

PROSPECTS>
 
Subject: The future of Grants Management is at ARMA 2026
 
 
 
Hi [First name],
 
 
GrantsNow are proud to be sponsoring ARMA 2026, and we will be attending from 16 to 18 June at the Harrogate Convention Centre.
 
Do come by our desk in the exhibition Hall to meet our team and see the latest updates in functionality in our AI-driven, cloud-based grants management platform built to improve efficiency in Pre & Post Awards in research offices. 
 
We will be on hand to show you GrantsNow and how our clients and users are benefiting from our SaaS Cloud platform.
 
We look forward to showing you what we've been working on.
 
 
See you at ARMA 2026
 
 
 
Best wishes,
Ian McGowan
Director",709,122,True
3,ARMA,Prospect,Research,Follow-up A,We hope to see you at ARMA 2026!,"Good afternoon, [Name],

Just a quick note ahead of ARMA 2026 at the Harrogate Convention Centre, 16 to 18 June.
If you are attending, it would be great to catch up at our desk in the exhibition hall. We would be happy to give you a walkthrough of GrantsNow.

Looking forward to seeing you there.

Best wishes,

Ian McGowan
Director","Subject: We hope to see you at ARMA 2026!

Good afternoon, [Name],

Just a quick note ahead of ARMA 2026 at the Harrogate Convention Centre, 16 to 18 June.
If you are attending, it would be great to catch up at our desk in the exhibition hall. We would be happy to give you a walkthrough of GrantsNow.

Looking forward to seeing you there.

Best wishes,

Ian McGowan
Director",375,69,True
3,ARMA,Prospect,Research,Follow-up B,Re: We hope to see you at ARMA 2026,"Hi, [Name],
We hope to see you at our desk as we will be showing our new functionality, AI-driven features and the latest dashboards, both of which have come a long way recently. 
We would be happy to help you know more about our research management system.
See you there.
Best wishes,
Ian McGowan
Director","Subject: Re: We hope to see you at ARMA 2026
Hi, [Name],
We hope to see you at our desk as we will be showing our new functionality, AI-driven features and the latest dashboards, both of which have come a long way recently. 
We would be happy to help you know more about our research management system.
See you there.
Best wishes,
Ian McGowan
Director",351,66,True
4,25% More Funding,Prospect,"List 1: Competitor Users/Worktribe Specific

List2: Vice chancellors, dir of research, SENIOR",Base,Research Teams are capturing up to 25% more funding,"Hi [Name],
Most research teams aren't missing funding because their bids fall short. They're missing it because the right calls are either missed or never seen. Your team can't afford to spend all their time on scanning every funder opportunity manually.

This is exactly where our AI-driven Funder Scanner can help save time and boost operational efficiency. It helps you make sense of the funding landscape, see your options clearly and find the fund that genuinely fits the idea while giving you access to 200+ global funders, with a searchable database of UK, EU and international opportunities, alongside the latest research policies all in one place.

It's worth asking what your current system actually does at this stage. Most grants tools manage the work once a call has been found. Very few of them do the finding. That tends to be where the missed funding quietly hides.
Teams using the scanner have seen up to 25% more funding captured.

Would you be happy to show you how GrantsNow can help you simplifies your entire Grants
management process. Donwload our e-Book to get started: https://grantsnow.co.uk/ebook/

Best regards,","Subject: Research Teams are capturing up to 25% more funding

Hi [Name],
Most research teams aren't missing funding because their bids fall short. They're missing it because the right calls are either missed or never seen. Your team can't afford to spend all their time on scanning every funder opportunity manually.

This is exactly where our AI-driven Funder Scanner can help save time and boost operational efficiency. It helps you make sense of the funding landscape, see your options clearly and find the fund that genuinely fits the idea while giving you access to 200+ global funders, with a searchable database of UK, EU and international opportunities, alongside the latest research policies all in one place.

It's worth asking what your current system actually does at this stage. Most grants tools manage the work once a call has been found. Very few of them do the finding. That tends to be where the missed funding quietly hides.
Teams using the scanner have seen up to 25% more funding captured.

Would you be happy to show you how GrantsNow can help you simplifies your entire Grants
management process. Donwload our e-Book to get started: https://grantsnow.co.uk/ebook/

Best regards,",1201,206,True
